companies,prices,locations,published_by,floors,construction_status,start_price,final_price,price_range,locality,floor_plan
Suvarna City,,"in Shadnagar , Hyderabad",by TLR Ventures,,Ready To Move,,[],[],['in Shadnagar '],[]
Bhuvi By Vasavi Buildox,71.8 Lac -  1.24 Cr,"in Kompally , Hyderabad",by Vasavi Group,11 Floor Plan,Possession in 2028,71.8,[- 1.24 Cr],"[('71.8', 'Lac', '1.24', 'Cr')]",['in Kompally '],['11']
Vasavi Avasa,,"in Kompally , Hyderabad",by Vasavi Group,1 Floor Plan,Possession in 2026,,[],[],['in Kompally '],['1']
Sukrithi Pride Phase II,,"in Sadashivpet , Hyderabad",by Subhagruha Projects India Pvt. Ltd.,,Possession in 2025,,[],[],['in Sadashivpet '],[]
Sri Nilayam,,"in Attapur , Hyderabad",0,,Ready To Move,,[],[],['in Attapur '],[]
Primark North Wave,60.9 Lac -  99.9 Lac,"in Bahadurpally , Hyderabad",by Primark Developers,7 Floor Plan,Possession in 2026,60.9,[- 99.9 Lac],"[('60.9', 'Lac', '99.9', 'Lac')]",['in Bahadurpally '],['7']
Aparna Sarovar Towers,2.90 Cr -  3.73 Cr,"in Nalagandla , Hyderabad",by Aparna Constructions and Estates Pvt. Ltd.,3 Floor Plan,Possession in 2028,290.0,[- 3.73 Cr],"[('2.90', 'Cr', '3.73', 'Cr')]",['in Nalagandla '],['3']
Teja Fortune Heights,,"in Patancheruvu , Hyderabad",by Teja Homes Private Limited,13 Floor Plan,Possession in 2025,,[],[],['in Patancheruvu '],['13']
Green Rich Chevella,,"in Chevella , Hyderabad",by CR Developers,,Ready To Move,,[],[],['in Chevella '],[]
SPRING FEILD VANTAGE,,"in Kandi , Hyderabad",by APPLE INFRA GROUP,,Possession in 2024,,[],[],['in Kandi '],[]
MND Avenue,,"in Medchal , Hyderabad",by Sarvagna Projects,,Possession in 2024,,[],[],['in Medchal '],[]
Sukhii Tatva,,"in Nalagandla , Hyderabad",by Sukhii Projects LLP,6 Floor Plan,Possession in 2028,,[],[],['in Nalagandla '],['6']
Sunyuga Kailash,,"in Medchal , Hyderabad",by Sunyuga Infra Pvt. Ltd.,,Possession in 2026,,[],[],['in Medchal '],[]
Sri County Phase II,,"in Taramatipet , Hyderabad",by Sri Maatha Infra Developers,,Possession in 2024,,[],[],['in Taramatipet '],[]
Supadha Gamya,1.82 Cr -  3.50 Cr,"in Tellapur, Outer Ring Road , Hyderabad",by Supadha Developers Private Limited,5 Floor Plan,Possession in 2027,182.0,[- 3.50 Cr],"[('1.82', 'Cr', '3.50', 'Cr')]",['in Tellapur'],['5']
Lansum Elena,2.64 Cr -  3.77 Cr,"in Kokapet, Outer Ring Road , Hyderabad",by Lansum Enpoint Developers LLP,10 Floor Plan,Possession in 2028,264.0,[- 3.77 Cr],"[('2.64', 'Cr', '3.77', 'Cr')]",['in Kokapet'],['10']
Samracana Swasthi,68.8 Lac -  1.10 Cr,"in Kollur, Outer Ring Road , Hyderabad",by Samracana Projects LLP,4 Floor Plan,Possession in 2026,68.8,[- 1.10 Cr],"[('68.8', 'Lac', '1.10', 'Cr')]",['in Kollur'],['4']
Aparna Newlands,,"in Tellapur, Outer Ring Road , Hyderabad",by Aparna Constructions and Estates Pvt. Ltd.,4 Floor Plan,Possession in 2027,,[],[],['in Tellapur'],['4']
Aavaas Sahita,1.71 Cr -  2.09 Cr,"in Gagillapur , Hyderabad",by Vajra Housing Projects LLP,2 Floor Plan,Possession in 2025,171.0,[- 2.09 Cr],"[('1.71', 'Cr', '2.09', 'Cr')]",['in Gagillapur '],['2']
Jains Central Park East,68 Lac -  1.32 Cr,"in Narepally , Hyderabad",by Jain Constructions,,Possession in 2027,68.0,[- 1.32 Cr],"[('68', 'Lac', '1.32', 'Cr')]",['in Narepally '],[]
Fortune Retreat,40 Lac -  1.08 Cr,"in Shankarpalli Mominpet Road , Hyderabad",by Green City Sreenivasa Estates,,Possession in 2025,40.0,[- 1.08 Cr],"[('40', 'Lac', '1.08', 'Cr')]",['in Shankarpalli Mominpet Road '],[]
